"GEO_ID","NAME","B19113_001E","B19113_001M","B19113_001MA","B19113_001EA",
"0500000US05029","Conway County, Arkansas","56628","3331","null","null",
"0500000US05031","Craighead County, Arkansas","63489","3825","null","null",
"0500000US05033","Crawford County, Arkansas","58329","2007","null","null",
"0500000US05035","Crittenden County, Arkansas","52606","2238","null","null",
"0500000US05037","Cross County, Arkansas","58133","8533","null","null",
"0500000US05039","Dallas County, Arkansas","54531","9655","null","null",
"0500000US05041","Desha County, Arkansas","43668","6303","null","null",
"0500000US05043","Drew County, Arkansas","65428","9591","null","null",
"0500000US05045","Faulkner County, Arkansas","70821","2721","null","null",
"0500000US05047","Franklin County, Arkansas","54920","6600","null","null",
"0500000US05049","Fulton County, Arkansas","44672","9941","null","null",
"0500000US05051","Garland County, Arkansas","60892","2086","null","null",
"0500000US05053","Grant County, Arkansas","76607","9561","null","null",
"0500000US05055","Greene County, Arkansas","55777","2580","null","null",
"0500000US05057","Hempstead County, Arkansas","57335","6043","null","null",
"0500000US05059","Hot Spring County, Arkansas","57417","3513","null","null",
"0500000US05061","Howard County, Arkansas","48422","4471","null","null",
"0500000US05063","Independence County, Arkansas","57079","3691","null","null",
"0500000US05065","Izard County, Arkansas","53062","2781","null","null",
"0500000US05067","Jackson County, Arkansas","50327","5831","null","null",
"0500000US05069","Jefferson County, Arkansas","52338","3916","null","null",
"0500000US05071","Johnson County, Arkansas","46935","3152","null","null",
"0500000US05073","Lafayette County, Arkansas","46154","7005","null","null",
"0500000US05075","Lawrence County, Arkansas","53573","2868","null","null",
"0500000US05077","Lee County, Arkansas","46484","10292","null","null",
"0500000US05079","Lincoln County, Arkansas","55582","7599","null","null",
"0500000US05081","Little River County, Arkansas","69606","7726","null","null",
"0500000US05083","Logan County, Arkansas","52713","3700","null","null",
"0500000US05085","Lonoke County, Arkansas","72137","3319","null","null",
"0500000US05087","Madison County, Arkansas","53162","10282","null","null",
"0500000US05089","Marion County, Arkansas","45878","4462","null","null",
"0500000US05091","Miller County, Arkansas","56206","3476","null","null",
"0500000US05093","Mississippi County, Arkansas","52556","2926","null","null",
"0500000US05095","Monroe County, Arkansas","60140","4017","null","null",
"0500000US05097","Montgomery County, Arkansas","49838","6083","null","null",
"0500000US05099","Nevada County, Arkansas","50235","9892","null","null",
"0500000US05101","Newton County, Arkansas","51696","5586","null","null",
"0500000US05103","Ouachita County, Arkansas","49191","4768","null","null",
"0500000US05105","Perry County, Arkansas","55500","7651","null","null",
"0500000US05107","Phillips County, Arkansas","46951","5559","null","null",
"0500000US05109","Pike County, Arkansas","56737","3996","null","null",
"0500000US05111","Poinsett County, Arkansas","50336","3513","null","null",
"0500000US05113","Polk County, Arkansas","47092","4798","null","null",
"0500000US05115","Pope County, Arkansas","57976","6423","null","null",
"0500000US05117","Prairie County, Arkansas","59359","9905","null","null",
"0500000US05119","Pulaski County, Arkansas","70346","2035","null","null",
"0500000US05121","Randolph County, Arkansas","51658","3842","null","null",
"0500000US05123","St. Francis County, Arkansas","42840","4101","null","null",
"0500000US05125","Saline County, Arkansas","80710","2479","null","null",
"0500000US05127","Scott County, Arkansas","52649","7212","null","null",
"0500000US05129","Searcy County, Arkansas","43279","4520","null","null",
"0500000US05131","Sebastian County, Arkansas","57621","2668","null","null",
"0500000US05133","Sevier County, Arkansas","56492","3402","null","null",
"0500000US05135","Sharp County, Arkansas","45742","3708","null","null",
